Name,Price
Neutraal Bananen Fairtrade,1.55
Looye Honingtomaten,3.59
PLUS Bananen Fairtrade,2.19
PLUS Lychees,2.89
Neutraal Passievrucht,2.19
Neutraal Granaatappel,1.49
Eat Me Vijgen vers,3.49
Biologisch PLUS Bananen biologisch Fairtrade,2.19
PLUS Handappels Elstar,1.89
PLUS Conference Peren los,1.99
Neutraal Handperen Conference,2.19
PLUS Handappels Jonagold,1.89
PLUS Appels Goudreinet,0.89
,
PLUS Handappels elstar,3.99
PLUS Handappels Kanzi,3.19
PLUS Handappels Pink lady,3.49
Zespri Kiwi gold,3.99
Zespri Kiwi green,3.19
PLUS Druiven wit pitloos,2.99
PLUS Druiven rood pitloos,2.99
PLUS Druiven mix rood en wit pitloos,3.49
PLUS Handperen Doyenne du comice,2.79
PLUS Handappels Pink Lady,3.59
PLUS Handappels Granny Smith,2.99
Neutraal Kleine zoete appeltjes,2.99
PLUS Handappels Royal gala,2.69
Biologisch PLUS Handappel biologisch,2.99
PLUS Appels Morgana los,2.99
Biologisch PLUS Handperen biologisch,2.99
PLUS Komkommer,0.95
PLUS Mandarijnen,2.89
PLUS Paprika rood,0.79
PLUS Broccoli,1.19
PLUS Paprikamix,1.85
PLUS Avocado eetrijp,1.49
PLUS Prei,0.59
PLUS Courgette groen,0.99
PLUS Sperziebonen,1.75
PLUS Mandarijnen extra groot GVP,4.19
PLUS Trostomaten,1.39
PLUS Witlof,1.35
PLUS Mango eetrijp,1.99
PLUS Kruimige aardappel,2.99
PLUS Winterpeen,0.35
PLUS Snoeptomaten rood,3.29
Neutraal Champignons wit,1.25
Neutraal Champignons wit voordeelverpakking,1.99
PLUS Cherrytomaten,1.25
PLUS IJsbergsla krop,1.15
PLUS Bloemkool,2.49
PLUS Macaroni-spaghetti groenten,1.79
PLUS Snoepkomkommer,2.29
PLUS Handsinaasappelen,3.49
PLUS Spruiten,1.45
PLUS Roerbakgroenten Italiaanse stijl,2.09
PLUS Rucola,1.09
PLUS Gele uien,2.19
PLUS Boerenkool fijngesneden,2.09
PLUS Kruimige aardappelen extra groot,5.69
PLUS Galia meloen,2.99
PLUS Bosuien,0.85
PLUS Aardappelen kruimig (voorgekookt),1.49
PLUS Blauwe bessen,5.29
PLUS Zuurkool naturel,0.85
PLUS Sperziebonen gebroken,2.49
PLUS Basis soepgroenten,1.29
PLUS Perssinaasappelen,3.69
Biologisch PLUS Uien geel biologisch,1.25
Neutraal Knoflook 2 stuks,1.29
PLUS Mineola's,1.69
PLUS Citroenen (voordeelverpakking),1.59
PLUS Frambozen,2.75
PLUS Vastkokende aardappel,2.99
