RecipeName,RecipePrice,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13
Vegetarische enchilada's met quinoa-groentevulling,"Voor 23:55 besteld, morgen in huis*",150 gram Quinoa,1 stuk Verspakket mexicaanse wraps,200 gram Belegen kaas,4 stuks Kleine tortilla's,700 ml Tomato frito,150 ml Volle yoghurt,2 eetlepel Bieslook,2 stuks Avocado,1 stuk Rode ui,1 stuk Limoen,,,
Groentewraps met krokante kip en honing-mosterddressing,"Voor 23:55 besteld, morgen in huis*",6 stuks Kipkrokantschnitzels,400 gram Roerbakgroenten kool taugé,2 stuks Avocado,8 stuks Groentetortilla's,100 gram Ijsbergsla,150 ml Honing mosterddressing,,,,,,,
Zalm wraps met mango tomaten salsa,"Voor 23:55 besteld, morgen in huis*",1 stuk Mango,1 stuk Rode ui,1 Halve Peper,250 gram Snoeptomaten,2 stuks Limoenen,15 gram Koriander,4 stuks Zalmfilet op huid,1 stuk Avocado,4 stuks Tortilla,100 gram Babyspinazie,,,
"Sla wraps met noodles, aubergine en mango","Voor 23:55 besteld, morgen in huis*",2 stuks Aubergine ,250 gram Mie nestjes,2 eetlepel Sojasaus,2 theelepel Sesamolie,1 theelepel Azijn,1 stuk Mango,1 stuk Sjalot,1 bosje Koriander,2 stuks Little gem,4 theelepel Sriracha,,,
Wraps met biet-bonen-tomatensalsa,"Voor 23:55 besteld, morgen in huis*",4 worteltortilla’s (No Fairytales),4 el crème fraîche,½ blikje mais (à 150 g),"1 blikje bruine bonen (175 g, Bonduelle)","1 tomaat, brunoise gesneden","½ komkommer, brunoise gesneden","3 takjes platte peterselie, fijngesneden","½ rode peper, fijngesneden",1 el olijfolie,"250 g gekookte bieten, geraspt",75 g wortel julienne (zak 150 g),grillpan,
Gevulde wraps met garnalen en mango,"Voor 23:55 besteld, morgen in huis*",4 eetlepels wokolie,"2 teentjes knoflook, fijngehakt",400 gram gemengde wokgroenten naar keuze,"300 gram spinazie, panklaar",250 gram roze garnalen (2 bakjes van 125 gram per stuk),"1 mango, geschild, in stukjes",zoete chilisaus,4 grote tortilla’s,cocktailprikkers,,,,
Wraps met gegrilde groente,"Voor 23:55 besteld, morgen in huis*",1 bos groene asperges,"1 aubergine,  in de lengte in parten","1 groene paprika, in grote plakken",1 el mix voor chili con carne,2 el milde olijfolie,"1 blik kidneybonen, uitgelekt",8 worteltortilla’s,"150 g cheddar, geraspt",2 avocado’s,1 bakje crème fraîche (125 ml),"6 takjes koriander (plantje, biologisch), fijn gesneden","1 limoen, schoongeboend",EXTRA barbecue of grillpan
"Vegetarische burrito's met shoarma, bonenmix en guacamole","Voor 23:55 besteld, morgen in huis*",1 stuk Rode ui,3 stuks Paprika,2 stuks Avocado,1 stuk Limoen,2 stuks Trostomaten,1 bosje Koriander,350 gram Vivera shoarma,550 gram HAK kidneybonen chili,1 eetlepel Sriracha,75 gram Feta,4 stuks Grote tortilla,100 gram Bladspinazie,
Pasta Pesto Perfecto ,"Voor 23:55 besteld, morgen in huis*",300 gram Grand'Italia Penne Tradizionali,1 el Olijfolie,185 gram Grand’Italia Pesto alla Genovese,150 gram Mozzarella balletjes naturel (Galbani) ,300 gram Snoeptomaatjes ,2 stuks Gekleurde puntpaprika’s (1 rode en 1 gele),4 takjes Basilicum,,,,,,
Eenpanspasta met rundergehakt,"Voor 23:55 besteld, morgen in huis*",1 eetlepel Olijfolie,1 stuk Uien,3 tenen Knoflook,10 stuks Zongedroogde tomaten,300 gram Gehakt,1 theelepel Oregano,425 ml Passata,300 gram Penne,60 gram Parmigiano,150 gram Ricotta,10 gram Basilicum,,
