RecipeName,Ingredient1,Price1,Ingredient2,Price2,Ingredient3,Price3,Ingredient4,Price4,Ingredient5,Price5,Ingredient6,Price6,Ingredient7,Price7,Ingredient8,Price8,Ingredient9,Price9,Ingredient10,Price10,Ingredient11,Price11,Ingredient12,Price12,Ingredient13,Price13
"Vegetarische burrito's met shoarma, bonenmix en guacamole",Rode ui,1.99,Paprika,0.79,Avocado,1.49,Limoen,1.35,Trostomaten,2.89,Koriander,1.19,Vivera shoarma,3.29,HAK kidneybonen chili,3.09,Sriracha,2.85,Feta,2.39,Grote tortilla,2.75,Bladspinazie,1.55,,
Romige witlofpasta met zalm,Spaghetti,0.87,Rode ui ,1.99,Witlof,1.35,Teen Knoflook ,1.29,Zalmfilet,6.0,Roomkaas,1.09,Citroen,0.69,Peterselie,1.99,Rucola,1.09,,,,,,,,
Kipkluifjes met aioli-trio,PLUS Kipdrummets gekruid (500 g),0.79,1 bakje aioli-trio (210 g),Not Found,"1 takje peterselie, fijngehakt",Not Found,,,,,,,,,,,,,,,,,,,,
Wraps met gegrilde groente,1 bos groene asperges,Not Found,"1 aubergine,  in de lengte in parten",1.05,"1 groene paprika, in grote plakken",0.79,1 el mix voor chili con carne,Not Found,2 el milde olijfolie,9.29,"1 blik kidneybonen, uitgelekt",Not Found,8 worteltortilla’s,Not Found,"150 g cheddar, geraspt",1.79,2 avocado’s,1.49,1 bakje crème fraîche (125 ml),Not Found,"6 takjes koriander (plantje, biologisch), fijn gesneden",1.19,"1 limoen, schoongeboend",Not Found,EXTRA barbecue of grillpan,Not Found
"Salade met gebakken champignons, tomaat & ei",250 g witte champignons,Not Found,"1 rode ui, in ringen",3.79,2 el balsamicoazijn,Not Found,1 witte baguette,Not Found,"(afbakbrood, pak 300 g)",Not Found,5 el extra vierge olijfolie (fles 1 liter),8.99,2 avocado’s,1.49,250 g cherrytomaten,Not Found,4 witte vrije uitloopeieren (doos 10 stuks),1.29,Italiaanse kruiden,1.09,200 g spinazie (zak 300g),Not Found,1 zak rucola (85 g),1.09,Zuivelmeester),0.99
"Salade met tomaat, meloen, burrata en basilicum",3 trostomaten,2.89,½ galia meloen,Not Found,3 takjes basilicum,Not Found,5 el olijfolie extra vergine,Not Found,5 el balsamicoazijn,Not Found,1 tl vloeibare honing,Not Found,1 burrata,3.79,,,,,,,,,,,,
Fattoush salade met granaatappel,Libanees,2.85,Olijfolie,9.29,Knoflook,1.29,Griekse stijl yoghurt,2.19,Munt,1.99,Peterselie,1.99,Citroen,0.69,Komkommer,0.95,Tomaten,2.89,Radijs,1.19,Rode uien,1.99,Granaatappel,1.49,,
"Pasta met geroosterde groenten, burrata en pangrattato",Rode ui,1.99,Knoflook,1.29,Puntpaprika,2.0,Cocktailtrostomaten,3.35,Balsamico azijn,4.29,Beschuit,0.59,Peterselie,1.99,Citroenrasp,1.39,Tagliatelle vers,Not Found,Basilicum,1.99,Burrata,3.79,,,,
Eenpanspasta met rundergehakt,Olijfolie,9.29,Uien,1.99,Knoflook,1.29,Zongedroogde tomaten,1.65,Gehakt,3.33,Oregano,1.09,Passata,2.79,Penne,0.95,Parmigiano,1.79,Ricotta,2.99,Basilicum,1.99,,,,
Zalm wraps met mango tomaten salsa,Mango,1.99,Rode ui,1.99,Halve Peper,1.89,Snoeptomaten,3.29,Limoenen,1.35,Koriander,1.19,Zalmfilet op huid,6.0,Avocado,1.49,Tortilla,2.75,Babyspinazie,1.29,,,,,,
Gehaktballetjes met chorizo en aioli,Omwikkel elk gehaktballetje met een plakje chorizo en zet vast met een tapasprikker.,6.0,Gril de balletjes op de hete barbecue in 3 min. goudbruin. Leg de balletjes op een tapasschaaltje en bestrooi met de peterselie. Serveer met de aioli.,6.0,,,,,,,,,,,,,,,,,,,,,,
Shoarmasalade met frisse yoghurtdressing en pitapuntjes,Trostomaten,2.89,Komkommer,0.95,Rode ui,1.99,Peterselie,1.99,Citroen,0.69,Griekse yoghurt 10% vet,2.19,Knoflook,1.29,Shoarmavlees,4.99,Volkoren pitabrood,Not Found,IJsbergsla,1.09,Sriracha,2.85,,,,
Kip-spinaziewrap met roomkaas,2 tortillawraps,1.29,100 g verse roomkaas met kruiden,Not Found,½ zak babyspinazie (à 50 g),Not Found,8 plakjes kipfilet,Not Found,Keukenmateriaal: huishoudfolie,Not Found,,,,,,,,,,,,,,,,
Pastaschotel uit de oven met tonijn,Courgette,0.99,Aubergine,1.05,Soepgroenten,2.17,Knoflook,1.29,Gepelde tomaten,1.89,Tijm,2.69,Macaroni,0.79,Geraspte mozzarella,Not Found,Jong belegen kaas,Not Found,Tonijn in water,3.79,Kappertjes,0.79,Peterselie,1.99,,
"Sla wraps met noodles, aubergine en mango",Aubergine ,1.05,Mie nestjes,1.19,Sojasaus,1.15,Sesamolie,4.99,Azijn,4.29,Mango,1.99,Sjalot,2.49,Koriander,1.19,Little gem,2.19,Sriracha,2.85,,,,,,
Gevulde wraps met garnalen en mango,4 eetlepels wokolie,Not Found,"2 teentjes knoflook, fijngehakt",Not Found,400 gram gemengde wokgroenten naar keuze,Not Found,"300 gram spinazie, panklaar",Not Found,250 gram roze garnalen (2 bakjes van 125 gram per stuk),1.29,"1 mango, geschild, in stukjes",1.99,zoete chilisaus,Not Found,4 grote tortilla’s,2.75,cocktailprikkers,1.29,,,,,,,,
Broccolisalade met avocado en makreel,Broccoli,1.49,Gerookte makreel,4.49,Rode ui,1.99,Linzen in blik,3.79,Avocado,1.49,Citroen,0.69,Dille,1.19,Verse spinazie,2.49,,,,,,,,,,
Caesarsalade met krokante kip,Bloemkool,2.49,Sjalot,2.49,Courgette,0.99,Little gem,2.19,Caesardressing,Not Found,Citroensap,0.65,Peterselie,1.99,Kipfilethaasjes gepaneerd,5.99,Parmezaanse kaas flakes,Not Found,Meergranen stokbrood,1.89,,,,,,
Pasta pesto met spinazie,400 gram spaghetti (pasta),Not Found,600 gram verse spinazie,Not Found,3 stengels bosuien,Not Found,2 eetlepels groene pesto,Not Found,200 gram groene asperges,Not Found,50 gram pijnboompitten,5.49,125 gram mozzarella,Not Found,1 teentje knoflook,Not Found,,,,,,,,,,
